Number of players,,All,41,EN,15,CN,14,JP,12,Language Usage,,
Unit,,Count,Usage,EN-Count,EN-Usage,CN-Count,CN-Usage,JP-Count,JP-Usage,EN,CN,JP
,Cordelia Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Cordelia Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Cordelia Winter Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Cormag,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Cornelia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Corrin (F),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Corrin (F) Adrift,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Corrin (F) Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Corrin (F) Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Corrin (F) Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Corrin (F) Ninja Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Corrin (F) Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Corrin (M),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Corrin (M) Adrift,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Corrin (M) Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Corrin (M) Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Corrin (M) Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Corrin (M) New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Corrin (M) Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Corrin (M) Young Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Cynthia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
