Number of players,,All,41,EN,15,CN,14,JP,12,Language Usage,,
Unit,,Count,Usage,EN-Count,EN-Usage,CN-Count,CN-Usage,JP-Count,JP-Usage,EN,CN,JP
,Plumeria Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Plumeria New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Plumeria Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Priam,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Priscilla,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Python,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Quan,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Quan Masquerade,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rafal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rafiel Groom,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Raigh,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ranulf,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ranulf Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Raphael,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Raphael Plegian,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ratatoskr Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rath,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Raven,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rebecca,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rebecca Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Reginn Aided,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Reginn Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Reginn New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Reina Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Reinhardt,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Reinhardt Soiree,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Reinhardt Sword,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rennac,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Reyson,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rhajat,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rhea,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rhea Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rhea Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rhys Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rickard Thief,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ricken,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Riev,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rinea Soiree,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rinkah,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rinkah Flame,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Robin (F),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Robin (F) Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Robin (F) Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Robin (F) Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Robin (F) Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Robin (F) Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Robin (F) Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Robin (F) Young Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Robin (M),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Robin (M) Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Robin (M) Groom,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Robin (M) Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Robin (M) Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Robin (M) Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Robin (M) Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Roderick,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rolf Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ronan,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rosado,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Roshea,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ross,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Roy,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Roy Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Roy Groom Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Roy Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Roy Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rudolf Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rune Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Rutger,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ryoma,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ryoma Hoshidan Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ryoma Hostile Springs,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ryoma Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Saber,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Saber Jehanna,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Safy,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Saias,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sain,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Saizo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Saizo Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sakura,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sakura Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sakura Hostile Springs,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Saleh Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Salem,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sanaki,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sanaki Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sanaki Ninja Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sara,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Saul,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Saul Groom,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Say'ri,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Say'ri Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Scarlet,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Scathach,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Seadall Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sedgar,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Seidr Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Seidr New Year Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Seiros Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Selena,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Selena (Sacred Stones),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Selena (Sacred Stones) Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Selena (Sacred Stones) Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Seliph,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Seliph Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Seliph Groom,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Seliph Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Selkie,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Selkie New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sephiran Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Seteth,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Seth,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Seth Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Setsuna,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Severa,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Severa Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shamir,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shamir Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shamir Summer Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shanna,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shanna Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shannan,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sharena,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sharena Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sharena Bridal Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sharena Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sheena,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shez (F),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shez (F) Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shez (F) Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shez (F) Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shez (F) Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shez (M),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shez (M) Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shez (M) Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shez (M) Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shigure,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shigure Performing,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shinon,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shinon Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shiro,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Shura,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Siegbert,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sigrun,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sigrun Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sigurd,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sigurd Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sigurd Masquerade Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sigurd Teatime,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Silas,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Silque,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Silque Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Silvia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sirius,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Skrimir Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Soleil,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Solon,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sonya,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sonya Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sonya Spring Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sophia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sophia Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sophia Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Soren,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Soren Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Soren Khadein,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Soren Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Soren Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sothe,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sothe Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sothe Thief,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sothis Halloween Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sothis Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sothis Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Stahl,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Stefan,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Subaki,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sue,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sully,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sumia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Surtr,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Surtr Pirate,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sylvain,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sylvain Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Sylvain Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Syrene,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tailtiu,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tailtiu Teatime,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Takumi,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Takumi Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Takumi Hoshidan Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Takumi New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Takumi Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Takumi Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tana,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tana Flame Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tana Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tana Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tana Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tanith,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tanith Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tanya,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tatiana,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tethys,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tethys Jehanna,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tharja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tharja Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tharja Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tharja Plegian,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tharja Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tharja Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Thea,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Thea Ice,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Thjazi Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Thorr Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Thrasir Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tibarn,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tibarn Pirate,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tiki (A),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tiki (A) Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tiki (A) Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tiki (Y),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tiki (Y) Ascended,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tiki (Y) Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tiki (Y) Halloween Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tiki (Y) Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tiki (Y) Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Timerra Attuned,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Timerra Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tina,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tine,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tine Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Titania,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Titania Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tobin,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tormod Nabata,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Travant,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Triandra Attuned,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Triandra Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Triandra Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Tsubasa,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ullr Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ursula,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ursula Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ursula Khadein,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ursula Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Uther,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Vaida,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Vaike Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Valbar,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Validar,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Valter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Vanessa,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Veld,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Velouria,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Velouria New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Veronica Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Veronica Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Veronica Pirate Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Veronica Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Veronica Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Veyle Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Veyle Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Vigarde,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Vigarde Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Vika Pirate,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Virion,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Volke,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Vyland,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Walhart,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Wil,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Wolf,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Wolt Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Wrys,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Xander,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Xander Hoshidan Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Xander Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Xander Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Xander Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Xander Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Xane Ancient,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Xane Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Xane Hatari,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Yarne,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Yarne Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Yarne New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Yen'fay,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ylgr,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ylgr Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ymir Summer Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Yukimura,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Yuliya,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Yunaka Aided,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Yunaka Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Yune Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Yuri,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Yuri Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Yuri Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Zeiss,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Zeke,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Zelestia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Zelgius,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Zelgius Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Zelkov Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Zelot Groom,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Zephia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Zephiel,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Zephiel Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Zihark Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
